dataset,sequence_id,start_time_sec,end_time_sec,duration_sec,script,script_id,script_sequence_id,actions_json,action_count,review_level,reviewed
aea,loc1_script1_seq1_rec1,56.385219612,86.335219737,29.950000125000003,Health activity,1,1,"[{""label"":""Workout / Cardio / Bodyweight Exercises"",""segments"":[{""end"":""00:26"",""start"":""00:05""}]}]",1,3,False
aea,loc1_script1_seq1_rec1,86.385246037,116.33522595,29.949979912999993,Health activity,1,1,[],0,3,False
aea,loc1_script1_seq1_rec1,116.385220862,146.3352222,29.950001338000007,Health activity,1,1,"[{""label"":""Workout / Cardio / Bodyweight Exercises"",""segments"":[{""end"":""00:30"",""start"":""00:00""}]}]",1,3,False
aea,loc1_script1_seq1_rec1,146.385224362,176.335223662,29.9499993,Health activity,1,1,"[{""label"":""Walking"",""segments"":[{""end"":""00:13"",""start"":""00:00""}]},{""label"":""Workout / Cardio / Bodyweight Exercises"",""segments"":[{""end"":""00:20"",""start"":""00:14""},{""end"":""00:30"",""start"":""00:24""}]}]",2,3,False
aea,loc1_script1_seq1_rec1,176.385222075,206.335223787,29.950001711999988,Health activity,1,1,"[{""label"":""Walking"",""segments"":[{""end"":""00:07"",""start"":""00:00""}]},{""label"":""Stretching / Yoga"",""segments"":[{""end"":""00:18"",""start"":""00:09""}]},{""label"":""Talking / Conversing"",""segments"":[{""end"":""00:25"",""start"":""00:20""}]}]",3,3,False
aea,loc1_script1_seq1_rec1,206.385220662,236.335221662,29.950001000000015,Health activity,1,1,"[{""label"":""Using Phone / Tablet"",""segments"":[{""end"":""00:05"",""start"":""00:00""}]},{""label"":""Stretching / Yoga"",""segments"":[{""end"":""00:18"",""start"":""00:12""}]}]",2,3,False
aea,loc1_script1_seq1_rec1,236.385222862,266.335223487,29.950000625,Health activity,1,1,"[{""label"":""Workout / Cardio / Bodyweight Exercises"",""segments"":[{""end"":""00:30"",""start"":""00:27""}]}]",1,2,True
aea,loc1_script1_seq1_rec1,266.38522195,296.33522745,29.950005499999975,Health activity,1,1,"[{""label"":""Workout / Cardio / Bodyweight Exercises"",""segments"":[{""end"":""00:25"",""start"":""00:00""}]}]",1,3,False
aea,loc1_script1_seq1_rec1,296.3852212,326.335219575,29.949998375000007,Health activity,1,1,"[{""label"":""Workout / Cardio / Bodyweight Exercises"",""segments"":[{""end"":""00:26"",""start"":""00:00""}]}]",1,3,False
aea,loc1_script1_seq1_rec1,326.3852162,356.335214112,29.949997912000015,Health activity,1,1,"[{""label"":""Using Phone / Tablet"",""segments"":[{""end"":""00:06"",""start"":""00:03""}]},{""label"":""Workout / Cardio / Bodyweight Exercises"",""segments"":[{""end"":""00:18"",""start"":""00:08""},{""end"":""00:30"",""start"":""00:22""}]}]",2,3,False
aea,loc1_script1_seq1_rec1,356.38522195,373.035221862,16.649999912,Health activity,1,1,"[{""label"":""Running / Jogging"",""segments"":[{""end"":""00:13"",""start"":""00:01""}]},{""label"":""Using Phone / Tablet"",""segments"":[{""end"":""00:16"",""start"":""00:13""}]}]",2,3,False
aea,loc1_script1_seq3_rec1,1534.374342337,1564.324349337,29.95000700000014,Clean the place,1,3,"[{""label"":""Using Phone / Tablet"",""segments"":[{""end"":""00:22"",""start"":""00:02""}]},{""label"":""Cleaning / Tidying"",""segments"":[{""end"":""00:30"",""start"":""00:26""}]}]",2,3,False
aea,loc1_script1_seq3_rec1,1564.374343837,1594.324342175,29.949998338000114,Clean the place,1,3,"[{""label"":""Walking"",""segments"":[{""end"":""00:09"",""start"":""00:00""}]},{""label"":""Cleaning / Tidying"",""segments"":[{""end"":""00:30"",""start"":""00:09""}]}]",2,3,False
aea,loc1_script1_seq3_rec1,1594.374337837,1624.324339012,29.950001175000125,Clean the place,1,3,"[{""label"":""Cleaning / Tidying"",""segments"":[{""end"":""00:30"",""start"":""00:00""}]}]",1,3,False
aea,loc1_script1_seq3_rec1,1624.37434605,1654.324346675,29.95000062500003,Clean the place,1,3,"[{""label"":""Cleaning / Tidying"",""segments"":[{""end"":""00:29"",""start"":""00:00""}]}]",1,3,True
aea,loc1_script1_seq3_rec1,1654.374345887,1684.3243403,29.949994413000013,Clean the place,1,3,"[{""label"":""Cleaning / Tidying"",""segments"":[{""end"":""00:29"",""start"":""00:00""}]}]",1,3,True
aea,loc1_script1_seq3_rec1,1684.374342462,1714.324338675,29.949996213000077,Clean the place,1,3,"[{""label"":""Cleaning / Tidying"",""segments"":[{""end"":""00:30"",""start"":""00:00""}]}]",1,3,False
aea,loc1_script1_seq3_rec1,1714.374343712,1744.3243378,29.94999408800004,Clean the place,1,3,"[{""label"":""Cleaning / Tidying"",""segments"":[{""end"":""00:30"",""start"":""00:00""}]}]",1,3,True
aea,loc1_script1_seq3_rec1,1744.374345262,1774.324340512,29.94999525000003,Clean the place,1,3,"[{""label"":""Cleaning / Tidying"",""segments"":[{""end"":""00:30"",""start"":""00:00""}]}]",1,3,False
